State,AMERICAN INDIAN/ALASKA NATIVE,ASIAN,BLACK,HISPANIC/LATINO,NATIVE HAWAIIAN/OTH PACF ISL,WHITE,TWO OR MORE RACES,OTHER
Alabama,0.2, 18.32, 21.16, 2.17, 0.05, 3.5799999999999983, 1.9800000000000002, 1.45
Alaska,14.89, 3.0700000000000003, 3.28, 2.3899999999999997, 1.25, 2.1599999999999966, 1.0700000000000003, 1.53
Arizona,4.04, 25.98, 2.6799999999999997, 15.25, 0.21, 11.770000000000003, 1.8800000000000003, 6.53
Arkansas,0.43000000000000005, 11.57, 11.370000000000001, 4.88, 0.29, 7.740000000000009, 1.5100000000000002, 2.79
California,0.5800000000000001, 35.82, 4.55, 25.120000000000005, 0.27, 15.009999999999998, 1.2000000000000002, 13.95
Colorado,0.76, 13.29, 2.64, 13.510000000000002, 0.039999999999999994, 0.5600000000000023, 1.0999999999999996, 3.86
Connecticut,0.21000000000000002, 21.89, 7.65, 8.43, 0.04000000000000001, 13.279999999999994, 1.38, 5.21
Delaware,0.03999999999999998, 20.39, 11.12, 4.12, 0.06, 11.25, 2.2800000000000002, 1.92
District-of-Columbia,0.3, 3.48, 23.92, 0.9399999999999995, 0.05, 5.960000000000001, 5.110000000000001, 4.98
Florida,0.10999999999999999, 14.559999999999999, 10.4, 2.950000000000003, 0.05, 12.600000000000001, 1.17, 2.99
Georgia,0.04999999999999999, 30.919999999999998, 23.9, 0.129999999999999, 0.06, 11.599999999999994, 1.3599999999999999, 2.81
Hawaii,0.26, 12.96, 1.83, 0.040000000000000924, 7.07, 7.809999999999999, 2.990000000000002, 1.23
Idaho,1.35, 19.669999999999998, 0.08999999999999997, 11.94, 0.16, 16.299999999999997, 1.8800000000000003, 3.47
Illinois,0.18, 24.470000000000002, 11.989999999999998, 5.98, 0.019999999999999997, 13.39, 1.1600000000000001, 5.93
Indiana,0.13, 12.47, 4.69, 0.4899999999999993, 0.07999999999999999, 13.159999999999997, 1.9100000000000001, 2.19
Iowa,0.38, 18.419999999999998, 1.2799999999999998, 1.1399999999999997, 0.12, 25.260000000000005, 4.4799999999999995, 1.24
Kansas,0.1399999999999999, 21.54, 4.489999999999999, 5.080000000000001, 0.08, 20.099999999999994, 4.71, 2.46
Kentucky,0.36, 15.200000000000001, 7.11, 0.020000000000000018, 0.07, 13.289999999999992, 1.58, 0.98
Louisiana,0.57, 8.82, 23.86, 5.78, 0.03, 7.52000000000001, 0.8700000000000001, 1.41
Maine,0.65, 8.04, 0.29000000000000004, 2.52, 0.03, 16.519999999999996, 0.27, 0.27
Maryland,0.04999999999999999, 24.97, 17.64, 4.44, 0.09000000000000001, 11.990000000000002, 1.3699999999999997, 4.52
Massachusetts,0.01999999999999999, 23.700000000000003, 3.92, 5.57, 0.0, 22.439999999999998, 0.8200000000000003, 4.18
Michigan,0.54, 26.400000000000002, 12.479999999999999, 1.17, 0.18, 16.53, 0.040000000000000036, 1.18
Minnesota,0.72, 17.24, 3.12, 0.6100000000000003, 0.07, 20.889999999999993, 2.0100000000000002, 1.87
Mississippi,0.48, 15.680000000000001, 21.049999999999997, 1.1099999999999999, 0.02, 10.800000000000004, 11.15, 1.03
Missouri,0.26, 18.41, 7.62, 0.6600000000000001, 0.04999999999999999, 16.169999999999995, 0.8799999999999999, 1.17
Montana,6.36, 10.32, 0.5, 3.84, 0.08, 2.799999999999997, 3.06, 0.67
Nebraska,0.92, 14.98, 0.03000000000000025, 7.41, 0.07, 11.620000000000005, 1.54, 2.1
Nevada,0.7100000000000001, 13.950000000000001, 5.719999999999999, 6.039999999999999, 0.10000000000000009, 10.139999999999993, 4.700000000000001, 10.26
New-Hampshire,0.15, 31.240000000000002, 1.1600000000000001, 1.0999999999999996, 0.03, 38.14000000000001, 1.8599999999999999, 0.56
New-Jersey,0.21, 32.25, 10.290000000000001, 11.31, 0.019999999999999997, 19.029999999999994, 0.8399999999999999, 6.29
